Pump Model;;LKH-5;LKH-10 LKH-20 LKH-35;LKH-15 LKH-45 LKH-50 LKH-70;LKH-25;LKH-40;LKH-60;LKH-85 LKH-90
Clamp ISO 2037;M1;21;21;21;21;21;21;-
;M2;21;21;21;21;12;21;-
Union ISO(IDF);M1;21;21;21;21;21;21;-
;M2;21;21;21;21;21;21;-
Union DIN/ISO;M1;22;25;30;30;30;30;-
;M2;22;22;30;25;27;30;-
Union SMS;M1;20;24;35;24;24;35;-
;M2;20;20;24;24;24;35;-
Union (BS)RJT;M1;27;27;32;27;27;32;-
;M2;27;27;27;27;22;32;-
Union DS;M1;20;24;24;24;24;24;-
;M2;20;20;24;24;21;24;-
Union DIN/DIN;M1;22;25;30;30;30;30;50
;M2;22;22;30;25;27;30;50
Clamp ASME BPE;M1;-;-;-;-;-;-;38
;M2;-;-;-;-;-;-;38
J1 1;;51 / 2";63,5 / 2,5";101,6 / 4";76,1 / 3";76,1 / 3";101,6 / 4";152,5 / 6"
J2 2;;38 / 1,5";51 / 2";76,1 / 3";63,5 / 2,5";63,5 / 2,5";101,6 / 4";152,5 / 6"